cluster_id,household_id,child_age_months,child_sex,mother_education,urban_rural,district,wealth_index,disability,province
1.0,1.0,39.0,0,0.0,1,1.0,2.0,2.0,0
1.0,1.0,38.0,1,0.0,1,1.0,2.0,2.0,0
1.0,1.0,17.0,1,0.0,1,1.0,2.0,0.0,0
1.0,1.0,16.0,0,0.0,1,1.0,2.0,0.0,0
1.0,1.0,13.0,1,0.0,1,1.0,2.0,0.0,0
1.0,1.0,9.0,0,0.0,1,1.0,2.0,0.0,0
1.0,1.0,4.0,0,0.0,1,1.0,2.0,0.0,0
1.0,1.0,3.0,1,0.0,1,1.0,2.0,0.0,0
1.0,2.0,62.0,0,0.0,1,1.0,2.0,2.0,0
1.0,2.0,59.0,1,0.0,1,1.0,2.0,2.0,0
1.0,2.0,39.0,0,0.0,1,1.0,2.0,2.0,0
1.0,2.0,36.0,1,0.0,1,1.0,2.0,2.0,0
1.0,2.0,33.0,1,0.0,1,1.0,2.0,2.0,0
1.0,3.0,72.0,0,0.0,1,1.0,1.0,2.0,0
1.0,3.0,69.0,1,0.0,1,1.0,1.0,2.0,0
1.0,3.0,49.0,0,0.0,1,1.0,1.0,2.0,0
1.0,3.0,46.0,0,0.0,1,1.0,1.0,2.0,0
1.0,3.0,39.0,1,0.0,1,1.0,1.0,2.0,0
1.0,4.0,34.0,0,0.0,1,1.0,1.0,2.0,0
1.0,4.0,21.0,1,0.0,1,1.0,1.0,2.0,0
1.0,4.0,5.0,0,0.0,1,1.0,1.0,0.0,0
1.0,4.0,3.0,0,0.0,1,1.0,1.0,0.0,0
1.0,4.0,2.0,0,0.0,1,1.0,1.0,0.0,0
1.0,4.0,0.0,0,0.0,1,1.0,1.0,0.0,0
1.0,5.0,51.0,0,0.0,1,1.0,1.0,2.0,0
1.0,5.0,39.0,1,0.0,1,1.0,1.0,2.0,0
1.0,5.0,22.0,0,0.0,1,1.0,1.0,2.0,0
1.0,5.0,18.0,0,0.0,1,1.0,1.0,2.0,0
1.0,5.0,5.0,0,0.0,1,1.0,1.0,0.0,0
1.0,6.0,59.0,0,0.0,1,1.0,1.0,2.0,0
1.0,6.0,54.0,1,0.0,1,1.0,1.0,1.0,0
